Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
2330,"Taiwan Semiconductor Manufacturing Co., Ltd.",1900,TWD,Tecnologia elettronica,1574395783882.2888,USD,
005930,"Samsung Electronics Co., Ltd.",193000,KRW,Tecnologia elettronica,840087708731.1584,USD,
000660,SK hynix Inc.,951000,KRW,Tecnologia elettronica,450151283477.6002,USD,
1398,Industrial and Commercial Bank of China Limited Class H,6.56,HKD,Finanza,348552792968.14703,USD,
939,China Construction Bank Corporation Class H,8.21,HKD,Finanza,273931049878.7179,USD,
857,"PetroChina Co., Ltd. Class H",9.57,HKD,Minerali energetici,272650295026.3404,USD,
3988,Bank of China Limited Class H,4.76,HKD,Finanza,228521709487.65912,USD,
RELIANCE,Reliance Industries Limited,1428.65,INR,Minerali energetici,211788225576.58472,USD,
2628,China Life Insurance Co. Ltd. Class H,34.58,HKD,Finanza,174740289667.68817,USD,
2318,"Ping An Insurance (Group) Company of China, Ltd. Class H",72.8,HKD,Finanza,167262790845.9924,USD,
HDFCBANK,HDFC Bank Limited,924,INR,Finanza,154650682355.72223,USD,
3968,"China Merchants Bank Co., Ltd. Class H",49.98,HKD,Finanza,144397470478.14194,USD,
BHARTIARTL,Bharti Airtel Limited,1996.7,INR,Comunicazione,124211410688.66049,USD,
81211,BYD Company Limited Class H,88,CNY,Filiera di fabbricazione,114292618161.6461,USD,
ICICIBANK,ICICI Bank Limited,1399.45,INR,Finanza,109917578792.2855,USD,
TCS,Tata Consultancy Services Limited,2675.95,INR,Servizi tecnologici,107130007045.44774,USD,
2308,"Delta Electronics, Inc.",1305,TWD,Tecnologia elettronica,103760899474.99788,USD,
ITUB4,Itau Unibanco Holding SA Pfd,49.23,BRL,Finanza,100998433442.772,USD,
2317,"Hon Hai Precision Industry Co., Ltd.",228.5,TWD,Tecnologia elettronica,100483984050.71367,USD,
PETR4F,Petroleo Brasileiro SA Pfd,38,BRL,Minerali energetici,97625060037.7592,USD,
2454,MediaTek Inc,1795,TWD,Tecnologia elettronica,93866216858.03421,USD,
DELTA,Delta Electronics (Thailand) Public Co. Ltd.,248,THB,Tecnologia elettronica,93812579475.45268,USD,
GMEXICO/B,Grupo Mexico S.A.B. de C.V. Class B,204.96,MXN,Minerali non energetici,93072144336.73412,USD,
005380,Hyundai Motor Company,523000,KRW,Beni di consumo durevoli,81694065468.66856,USD,
AMX/B,America Movil SAB de CV Class B,20.6,MXN,Comunicazione,73552218138.06383,USD,
VALE3,Vale S.A.,86.81,BRL,Minerali non energetici,71446412510.0432,USD,
LT,Larsen & Toubro Limited,4413.35,INR,Servizi industriali,66407278565.04707,USD,
INFY,Infosys Limited,1326.65,INR,Servizi tecnologici,60449758950.63386,USD,
WALMEX,Wal-Mart de Mexico SAB de CV,57.92,MXN,Vendita al dettaglio,58941937328.1544,USD,
ANG,Anglogold Ashanti PLC,179950,ZAC,Minerali non energetici,57683391296,USD,
BBCA,PT Bank Central Asia Tbk,7300,IDR,Finanza,52549070606.640625,USD,
GFI,Gold Fields Limited,87747,ZAC,Minerali non energetici,47507214911.04739,USD,
ITC,ITC Limited,325.3,INR,Beni di consumo non durevoli,45153673182.91579,USD,
012450,"Hanwha Aerospace Co., Ltd.",1236000,KRW,Tecnologia elettronica,43898883890.96863,USD,
NPN,Naspers Limited Class N,92535,ZAC,Servizi tecnologici,43640905598.3973,USD,
2881,"Fubon Financial Holding Co., Ltd.",95.7,TWD,Finanza,42275986247.1932,USD,
BBDC4F,Banco Bradesco SA Pfd,21.7,BRL,Finanza,41234988002.2872,USD,
105560,KB Financial Group Inc.,168700,KRW,Finanza,41230445804.809784,USD,
068270,"Celltrion, Inc.",243000,KRW,Tecnologia sanitaria,36546861147.67442,USD,
2382,Quanta Computer Inc.,283.5,TWD,Tecnologia elettronica,34949141083.77765,USD,
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk Class B,3900,IDR,Finanza,34237233900.22656,USD,
FSR,FirstRand Limited,9818,ZAC,Finanza,34033725006.735798,USD,
CPI,Capitec Bank Holdings Limited,474116,ZAC,Finanza,33977219003.3144,USD,
055550,"Shinhan Financial Group Co., Ltd.",101800,KRW,Finanza,33211637310.058422,USD,
OTP,OTP Bank Nyrt,40170,HUF,Finanza,32824587351.799686,USD,
GFNORTE/O,Grupo Financiero Banorte SAB de CV Class O,200,MXN,Finanza,32818283660.63724,USD,
2412,"Chunghwa Telecom Co., Ltd",135,TWD,Comunicazione,32709264520.375835,USD,
2891,CTBC Financial Holding Company Ltd.,53.9,TWD,Finanza,32564751942.07656,USD,
035420,NAVER Corp.,255500,KRW,Servizi tecnologici,26136149719.78019,USD,
FEMSA/UBD,Fomento Economico Mexicano SAB de CV Units Cons. Of 1 ShsB And 4 ShsD,194.71,MXN,Beni di consumo non durevoli,22887331239.8455,USD,